Warehouse,lat,long,mincap,maxcap
Kamppi,60.167458,24.931075,200,600
Munkkiniemi,60.19827,24.875989,200,600
Pasila,60.202785,24.925894,500,1500
Maunula,60.229804,24.930579,300,900
Malmi,60.251022,25.010563,500,1500
Herttoniemi,60.193149,25.036062,300,900
Myllypuro,60.223586,25.067761,200,600
Östersundom,60.251987,25.177545,200,600
